날짜,시가,고가,저가,종가,거래량,거래대금,가격변동
2020-01-02,294.19,294.57,289.96,290.35,66161346,3179607127060,1
2020-01-03,293.1,294.88,289.04,290.74,79773386,3786974299485,0
2020-01-06,287.73,289.41,287.49,288.43,69955469,3021821664326,1
2020-01-07,290.01,292.26,289.64,291.23,65345566,3198886938282,0
2020-01-08,288.94,291.01,287.3,289.42,124529390,5688121940953,1
2020-01-09,293.83,294.41,292.1,294.41,111792014,5341389662069,1
2020-01-10,294.8,297.17,294.17,297.06,94157266,4483974821322,1
2020-01-13,296.62,300.31,296.53,300.13,81682664,3990278991212,1
2020-01-14,302.2,303.61,300.69,301.53,92120109,4623084030942,0
2020-01-15,299.91,301.13,298.82,299.74,71766733,3530078753328,1
2020-01-16,299.93,302.91,298.95,302.78,85707638,3913796987292,1
2020-01-17,305.07,306.05,302.51,303.3,81541749,3747835662416,1
2020-01-20,304.99,307.54,304.77,305.58,78037041,4015899532878,0
2020-01-21,304.94,306.09,301.85,302.11,67631709,3428121382642,1
2020-01-22,301.79,306.52,301.16,306.08,79333567,4167142026529,0
2020-01-23,303.77,304.72,301.71,302.33,86908213,4680581087009,0
2020-01-28,294.98,296.3,291.3,292.77,130172631,6227848864250,1
2020-01-29,294.38,295.67,292.45,293.98,85731721,4532180797801,0
2020-01-30,293.27,294.11,287.09,288.37,101535382,5041424591902,0
2020-01-31,290.24,291.47,284.53,284.53,101455875,4981464166273,1
2020-02-03,280.17,286.24,279.78,285.05,111063423,5340314145680,1
2020-02-04,285.19,291.38,285.11,290.68,105451846,5490239355299,1
2020-02-05,293.57,294.26,290.3,292.02,102639669,5439113078670,1
2020-02-06,294.74,300.98,294.32,300.65,110215624,5560837664826,0
2020-02-07,299.59,300.05,296.01,298.21,108113022,6108929462072,0
2020-02-10,294.07,296.73,293.33,296.24,72223139,3557248081357,1
2020-02-11,297.91,301.1,297.48,299.28,78351004,4458457437040,1
2020-02-12,299.83,302.2,298.09,301.54,110634418,4681083404674,0
2020-02-13,302.79,304.43,300.48,300.93,115074744,5791375282807,1
2020-02-14,300.95,304.2,299.18,303.01,80533146,3926717009713,0
2020-02-17,302.84,304.05,300.99,302.76,84276194,3566139143157,0
2020-02-18,300.26,301.29,297.2,297.74,84753423,4118990134714,1
2020-02-19,299.68,300.38,295.53,298.33,84259077,4357432708080,0
2020-02-20,300.34,301.35,295.01,296.65,90009979,4513365141935,0
2020-02-21,292.16,295.24,291.96,292.42,100708304,4344622684497,0
2020-02-24,285.51,286.62,281.02,281.02,132824242,6138633825259,1
2020-02-25,280.48,284.63,279.77,284.24,117025460,5776797027673,0
2020-02-26,278.45,281.98,277.68,279.94,119551044,5569800712805,0
2020-02-27,279.46,281.09,276.07,277.09,110499111,5040468461189,0
2020-02-28,272.33,273.98,267.23,268.02,202612815,7463367783904,1
2020-03-02,269.59,272.6,265.7,270.37,163722838,5998588583913,1
2020-03-03,277.44,277.54,270.79,271.56,146719241,5833762398834,1
2020-03-04,270.13,278.9,270.13,278.13,208456677,5584222109594,1
2020-03-05,280.66,282.05,277.91,281.38,147443706,5632793180162,0
2020-03-06,276.74,278.31,274.0,275.1,140905531,4628727479132,0
2020-03-09,266.39,267.75,261.76,263.11,182667732,6631638705295,1
2020-03-10,261.94,265.57,260.75,264.67,173094220,7049190397463,0
2020-03-11,264.63,265.04,255.69,257.01,194207114,6934520722320,0
2020-03-12,253.93,255.49,243.76,247.62,242469676,9166581685805,0
2020-03-13,231.71,246.19,227.36,240.65,298898659,10724653461955,0
2020-03-16,245.21,245.21,232.76,232.97,175050836,6679042837356,0
2020-03-17,222.94,234.56,222.46,226.89,216732913,8029497804396,0
2020-03-18,228.63,230.04,215.81,215.83,208043344,7432067068829,0
2020-03-19,220.72,220.85,196.27,199.28,303559674,9895582687576,1
