뉴스제목,주가변동
[외환마감]중동리스크에 급등한 원·달러 환율…9원 상승마감,0
"[클릭! 해외증시 이 종목] 테슬라, 中생산개시에 석달새 두배↑",0
[마켓뷰] 中 환율조작국 해제로 코스피 상승,0
[채권마감]연내 금리 동결 경계감 지속,0
[유럽개장]장초반 상승…英 0.19%↑,0
[유럽개장] 장초반 하락세…英 0.23%↓,0
[유럽개장] 장초반 상승세…英 0.31%↑,0
[외환마감]파월 '우한폐렴 예의주시' 발언에..원·달러 7.80원 급등,0
[유럽개장]장초반 상승세…英 FTSE 0.61%↑,0
[Asia마감]트럼프·시진핑 무역합의 재확인…中 반등,0
[유럽개장]신종코로나 공포 속 상승 출발…독일 0.31% ↑,0
[유럽개장]코로나 관망 속 혼조세 출발…英 0.35%↓,0
[외환마감]저가결제 수요 유입..원·달러 강보합,0
[유럽개장]영국 FTSE 0.59%↑…장 초반 상승세,0
[Asia마감]日엔저 · 中 돈풀기에 증시 상승,0
[Asia마감]불안감 속 짙은 관망세,0
[유럽개장] 소폭 상승출발…英 FTSE100 0.06%↑,0
[유럽개장]장 초반 일제히 하락…英 FTSE 0.75%↓,0
[유럽개장]'코로나19' 여파 대폭 하락세 출발…英 FTSE 2.17%↓,0
[유럽개장]상승 출발…獨 DAX 0.36% ↑,0
[Asia마감]패닉장 언제까지…日 6개월만에 '최저',0
[유럽개장]코로나發 낙폭 만회...반등 개장 英 1.4%↑,0
[유럽개장]장초반 상승세…英 1.91 ↑,0
[유럽개장]WHO 팬더믹 선언·美 유럽발 여행금지 조치 '쇼크'…5%대 급락,0
"[Asia마감]10%폭락 日증시, 8조 투입뒤 6%하락으로",0
[Asia마감]대규모 재정정책에도 증시는 와르르,0
[유럽개장]주요국 증시 상승…獨 2% 상승,0
[Asia마감]美선물 '서킷브레이커'… 오후 들어 와르르,0
[유럽개장] 주요국 증시 일제히 상승…英 FTSE 6.02%↑,0
[유럽개장] 일제히 상승 출발… 英 1.22% ↑,0
[유럽개장]장 초반 일제히 하락세…英FTSE 3.23% ↓,0
"[Asia마감]""비상사태 선언?"" 닛케이 1만9000선 깨져",0
"[유럽개장] 장 초반 소폭 상승세…영국 FTSE, 0.73% 상승",0
"[클릭! 해외증시 이 종목] 스타벅스, 4분기 영업익 9%↑예상",0
"[Asia마감]美 추가 부양책, 코로나 우려에 혼조세",0
[외환마감]예상 웃돈 中수출지표…원·달러 약보합,0
[Asia마감]美경제 재개 지침에 日증시 급등,0
[유럽개장]장초반 소폭 상승…英 0.51% ↑,0
[유럽개장]장초반 약세…英 0.14%↓,0
[유럽개장]주요증시 장초반 상승세…英 2.64%↑,0
[외환마감]경제 재개 기대 속 미중갈등 우려…1222.10원으로 하락,0
[외환마감]미중 충돌 우려 완화 속 美고용지표 대기,0
[Asia마감]중국서도 일본서도 잇따라 '호재',0
[외환마감]코스피 연동 소폭 하락…원·달러 1223.80원,0
[Asia마감] 트럼프 '얼간이 중국' 발언이 누른 증시,0
[Asia마감]美 FOMC 결과 기다리며 혼조,0
"[마감시황]코스피, '네 마녀의 날' 맞아 열흘 만에 하락(종합)",0
[Asia마감]'뉴욕발 강풍'은 오전까지만,0
[Asia마감]코로나 2차 유행·북한 도발로 혼조세,0
[Asia마감]코로나 우려 완화·부양책 기대에 상승세,0
[유럽개장]장초반 일제히 하락…英 1.8%↓,0
[Asia마감]'볼커룰' 호재…日도 1%대 상승,0
[Asia마감]중국증시 '2년반 만의' 폭등,0
"[클릭! 해외증시 이 종목] 알리바바, 中클라우드 시장 성장 수혜",0
"[마켓뷰] 코스닥, 1년9개월 만에 770선 돌파",0
[외환마감]박스권 갇힌 원·달러…1200.90원 마감,0
[Asia마감]중국증시 끌어내린 트럼프의 서명,0
[외환마감]방향성 부재 속 횡보…0.50원 하락,0
[외환마감]위험자산 선호 회복…원·달러 8거래일만 1190원대,0
[Asia마감]오늘부터 달라진 中증시 '4일째 상승',0
[유럽개장]장초반 상승세 나타내…英 0.65%↑,0
[외환마감]비둘기 FOMC에도 원ㆍ달러 상승 마감,0
[외환마감]원·달러 1183.30원…2.0원 하락,0
[외환마감]원·달러 1184.60원…1.30원 상승,0
[유럽개장]일제히 상승세 출발…英 0.04%↑,0
[유럽개장] 하락세 출발…英 0.5%↓,0
[외환마감]원·달러 1184.30원…0.70원 하락,0
[Asia마감]美증시·'스가' 유력에 日증시 상승,0
[클릭! 해외증시 이 종목] 中 눙푸산취안 홍콩증시서 `돌풍`,0
[Asia마감]미중 갈등에 중화권 증시 하락세,0
[외환마감]원·달러 1179.0원…9개월만 1170원대로,0
[유럽개장]혼조 출발…英 0.02% 하락중,0
[유럽개장] 장 초반 일제히 약세…英 0.55% 하락,0
[Asia마감] 미중 갈등에 눌린 中증시,0
[유럽개장] 상승 출발…英FTSE 1.43%↑,0
[클릭! 해외증시 이 종목] 홈트族 덕에 美펠로턴 주가 `벌크업`,0
[외환마감]원·달러 1146.90원…0.20원 하락,0
[Asia마감]글로벌 불확실성 커지면서 아시아 증시 하락세,0
[Asia마감]관망세 속 美부양책·백신 기대감,0
[Asia마감]美추가부양 임박 소식에 日·홍콩 증시 상승,0
[유럽개장] 장초반 일제 하락세..英 1.1% 하락,0
[유럽개장]장 초반 일제히 큰폭 하락…英 2.05%↓·獨 2.99%↓,0
[유럽개장] 주요국 증시 일제 상승…英 0.3%·獨 0.8%↑,0
[유럽개장] 장 초반 혼조세 英 0.01% ↑ 獨 0.12% ↓,0
[유럽증시]일제 상승…英 FTSE 0.58% 상승,0
[클릭! 해외증시 이 종목] `집콕족` 집꾸미기 열풍에 홈디포 깜짝 실적,0
[Asia마감]중국경제는 먼저 간다? 지표에 뛴 주가,0
[유럽개장] 주요국 증시 장 초반 약세…佛·獨 동반 하락,0
[유럽개장]장초반 일제 상승세..英 0.3%↑,0
"연준의 선택은?...""추가랠리vs일시조정"" [증시전망대]",0
[유럽개장]장초반 상승세…獨 0.8%↑,0
[Asia마감]백신·美추가부양책 기대에 상승 마감,0
[유럽개장] 장초반 상승세…獨1.12%↑,0
"[마감시황]코스피, 기관 매수세에 역대 최고치",0
[유럽개장] 약보합 출발…英 FTSE 0.17%↓,0
"[마감시황]코스피, 대형주 쏠림 부담에 0.1% 하락",0
[유럽개장] 장 초반 혼조세···英 FTSE 0.07%↑,0
[유럽개장] 장 초반 혼조세…獨 DAX지수 0.25%↑,0
"공매도는 `새발의 피`…""더 센게 온다"" [증시전망대]",0
[Asia마감]바이든 효과...최고점 찍은 증시,0
[유럽개장]장 초반 상승세…英 FTSE 0.24%↑,0
[유럽개장] 장초반 오름세...英FTSE 0.54%↑,0
[유럽개장] 장 초반 혼조세…英 FTSE 0.03%↓,0
[마켓뷰] 기업 실적 호조에도 외국인 1조 '팔자'...코스피 3069.05 마감,0
"[외환마감]외국인 사흘째 증시 순매수..환율, 하루 만에 하락",0
"""억눌린 심리 풀렸다"" 일본증시 급등 [Asia마감]",0
[마켓뷰] 코스피 3100선 아래 하락 마감…현대차그룹 급락 등 영향,0
[유럽개장]장 초반 상승세…英FTSE 0.63%↑,0
[유럽개장] 장 초반 약세…佛·獨 동반 하락,0
3만은 부담스럽나? 사흘째 떨어진 日 [Asia마감],0
[시황종합] 하루만에 또 3100선 내준 코스피…외인+기관 '팔자',0
[유럽개장] 일제히 강보합… 英 0.85%↑,0
[유럽개장]상승출발…英 FTSE 0.29%↑,0
[유럽개장] 일제히 강보합…英 0.86%↑,0
[유럽개장] 일제히 하락세…英 FTSE 0.74%↓,0
